pop,mf,cb,recall,ndcg
0.0,0.0,1.0,0.24731182795698925,0.15293797589828406
0.0,0.1,0.9,0.24731182795698925,0.15293797589828406
0.0,0.2,0.8,0.25806451612903225,0.15399036348963202
0.0,0.30000000000000004,0.7,0.25268817204301075,0.14704252375888818
0.0,0.4,0.6,0.22043010752688172,0.13795201414760566
0.0,0.5,0.5,0.22043010752688172,0.12781010257463565
0.0,0.6000000000000001,0.3999999999999999,0.24193548387096775,0.1326619418171946
0.0,0.7000000000000001,0.29999999999999993,0.25268817204301075,0.13615466178835556
0.0,0.8,0.19999999999999996,0.25268817204301075,0.1426323817951696
0.0,0.9,0.09999999999999998,0.24193548387096775,0.13823632716750436
0.0,1.0,0.0,0.24193548387096775,0.13823632716750436
0.1,0.0,0.9,0.24731182795698925,0.15293797589828406
0.1,0.1,0.8,0.24193548387096775,0.15073994858445142
0.1,0.2,0.7,0.24193548387096775,0.14888411965690074
0.1,0.30000000000000004,0.6,0.23118279569892472,0.14219539599229766
0.1,0.4,0.5,0.20967741935483872,0.12524101077181718
0.1,0.5,0.4,0.21505376344086022,0.1209951936216378
0.1,0.6000000000000001,0.29999999999999993,0.25806451612903225,0.14155375153654484
0.1,0.7000000000000001,0.19999999999999996,0.26344086021505375,0.140449679138714
0.1,0.8,0.09999999999999998,0.24193548387096775,0.13823632716750436
0.1,0.9,0.0,0.24193548387096775,0.13823632716750436
0.2,0.0,0.8,0.25806451612903225,0.15818434356268365
0.2,0.1,0.7000000000000001,0.26881720430107525,0.16247400420799782
0.2,0.2,0.6000000000000001,0.23655913978494625,0.14232053859552354
0.2,0.30000000000000004,0.5,0.22043010752688172,0.12774492865199222
0.2,0.4,0.4,0.20967741935483872,0.11764849918758528
0.2,0.5,0.30000000000000004,0.20967741935483872,0.11402761188566668
0.2,0.6000000000000001,0.19999999999999996,0.25268817204301075,0.13278510237805763
0.2,0.7000000000000001,0.09999999999999998,0.24193548387096775,0.13321549415456166
0.2,0.8,0.0,0.24193548387096775,0.13340730279271285
0.30000000000000004,0.0,0.7,0.25806451612903225,0.1589282626170669
0.30000000000000004,0.1,0.6,0.24193548387096775,0.15374052194079477
0.30000000000000004,0.2,0.49999999999999994,0.23118279569892472,0.1329365378397072
0.30000000000000004,0.30000000000000004,0.3999999999999999,0.23118279569892472,0.1251815369831526
0.30000000000000004,0.4,0.29999999999999993,0.22580645161290322,0.12112217176608016
0.30000000000000004,0.5,0.19999999999999996,0.24193548387096775,0.12984171711705675
0.30000000000000004,0.6000000000000001,0.09999999999999987,0.24731182795698925,0.13202183877454013
0.4,0.0,0.6,0.22043010752688172,0.1336131494661009
0.4,0.1,0.5,0.22580645161290322,0.13270936538248362
0.4,0.2,0.39999999999999997,0.22043010752688172,0.12676044138854325
0.4,0.30000000000000004,0.29999999999999993,0.20967741935483872,0.1206707521698703
0.4,0.4,0.19999999999999996,0.22043010752688172,0.12392459103854873
0.4,0.5,0.09999999999999998,0.20967741935483872,0.12209634159156182
0.5,0.0,0.5,0.22043010752688172,0.13460591564181254
0.5,0.1,0.4,0.22043010752688172,0.12949525446123097
0.5,0.2,0.3,0.20967741935483872,0.12937581582799548
0.5,0.30000000000000004,0.19999999999999996,0.20967741935483872,0.13191772863469317
0.5,0.4,0.09999999999999998,0.22043010752688172,0.13158103538808882
0.5,0.5,0.0,0.22580645161290322,0.1364519250516638
0.6000000000000001,0.0,0.3999999999999999,0.22043010752688172,0.1392496320405024
0.6000000000000001,0.1,0.29999999999999993,0.20430107526881722,0.1288186466708488
0.6000000000000001,0.2,0.1999999999999999,0.21505376344086022,0.13027215900203878
0.6000000000000001,0.30000000000000004,0.09999999999999987,0.21505376344086022,0.13227084119486332
0.7000000000000001,0.0,0.29999999999999993,0.23118279569892472,0.1427953736314333
0.7000000000000001,0.1,0.19999999999999993,0.24193548387096775,0.14541272627723686
0.7000000000000001,0.2,0.09999999999999992,0.22043010752688172,0.13626522445524364
0.8,0.0,0.19999999999999996,0.24193548387096775,0.14531640047589847
0.8,0.1,0.09999999999999995,0.24193548387096775,0.14531640047589847
0.9,0.0,0.09999999999999998,0.24193548387096775,0.14531640047589847
1.0,0.0,0.0,0.24193548387096775,0.14531640047589847
